Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
6.2271,0.470849037,1.03078107078876,0.241547823,2.34495615612333,0.300488233,1.01074712931328,0.0051703449999998,2.43913799725883,0,1.03078572221121,-0.210902453,2.39713914729391,-0.17775774,1.01075533317193,-0.430665255,2.40705581482158,0.881667137,1.00650943250508,0.736895442,2.34308379217845,0.736893415,2.34305056134033,0.705695629,0.978038494918064,0.500518083,2.43719051138639,3.872345567,2.34390643767695,0.613378763,4.74943210605704,0.558899879,0.96096520395852,3.75378406,4.7495374700563,0.455858469,3.37190800936213,0.529491663,0.694680078710835,0.529491663,0.694680159845869,0.317674398,0.948751892434006,3.5832605957,0.691806813233687,3.5832605957,0.69180689423593,0.441672563,0.691781363922496,0.441672563,0.691781444924739,0.081218958,0.971338152760689,3.4956548213,0.679569559951273,3.4956548213,0.679569640953515,3.311736226,4.77333084177517,0.0246889590000001,6.07306093559634,0.228097677,0.983387319336285,0.171334505,4.77342810023853,0.0646822450000002,2.40513403979909,3.4200013279,2.39571291194945,0.407964468,1.00832549756686,0.284443378,2.39519192942626,0.284445047,2.39522532226887,0.558899879,0.96096520395852,3.59745112258979,3.37190800936213,0.081218958,0.971338152760689,3.16628161258979,6.07306093559634
6.2604,0.470849037,1.03078005580699,0.241547823,2.34495389983848,0.300487995,1.01074628320646,0.00517034500000024,2.43913574212868,0,1.03078479209992,-0.210902691,2.39713711848507,-0.177757979,1.01075440219462,-0.430665255,2.40705355969143,0.881666899,1.00650860940442,0.736895323,2.34308168479223,0.736893296,2.34304845395411,0.70569551,0.978037553586103,0.500517845,2.43718824199569,3.872345447,2.34390433029073,0.613378763,4.74942756727564,0.558899879,0.960964321365674,3.753783941,4.74953293127489,0.455858469,3.37190509195349,0.529491424,0.694679430427312,0.529491424,0.694679511429555,0.31767416,0.948751009841159,3.5832604764,0.691806164817373,3.5832604764,0.691806245952407,0.441672325,0.691780715506182,0.441672325,0.691780796508425,0.081218958,0.971337270167843,3.4956546424,0.679568911534959,3.4956546424,0.679568992669992,3.3117361067,4.77332662700273,0.0246889590000001,6.07305574879699,0.228097677,0.983386378004324,0.171334505,4.77342388546609,0.0646822450000002,2.40513177040838,3.4200012086,2.39571064255874,0.407964468,1.0083245562349,0.28444314,2.39518982204004,0.284445047,2.39522305287816,0.558899879,0.960964321365674,3.59745112258979,3.37190509195349,0.081218958,0.971337270167843,3.16628161258979,6.07305574879699
6.2937,0.470849038,1.03078123966372,0.241547823,2.34495660645654,0.300487996,1.01074755193368,0.00517034599999988,2.43913867391334,0,1.03078597595665,-0.210902452,2.39713982394843,-0.17775774,1.01075567092184,-0.430665254,2.4070564914761,0.881667018,1.00650978569283,0.736895442,2.34308444019639,0.736893416,2.34305120935827,0.70569563,0.978038729874521,0.500518084,2.43719115940434,3.872345567,2.34390724902728,0.613378764,4.74943340342083,0.55889988,0.960965438914978,3.753784061,4.74953876609218,0.455858469,3.37190898271695,0.529491663,0.694680240848112,0.529491663,0.694680321850354,0.317674399,0.948752127390463,3.5832605962,0.691806975370963,3.5832605366,0.691807056373206,0.441672564,0.691781525926982,0.441672564,0.691781607062015,0.081218958,0.971338387717147,3.4956547622,0.679569722088549,3.4956547622,0.679569803090792,3.3117362265,4.77333213781105,0.0246889600000002,6.07306288097807,0.228097678,0.983387554292742,0.171334505,4.77342939627441,0.0646822459999998,2.40513468781703,3.4200013284,2.39571356129529,0.407964468,1.00832585075461,0.284443379,2.39519257877211,0.284445048,2.39522597028681,0.55889988,0.960965438914978,3.59745112258979,3.37190898271695,0.081218958,0.971338387717147,3.16628161358979,6.07306288097807
6.327,0.470849038,1.03078005580699,0.241547823,2.34495389983848,0.300487996,1.01074628320646,0.00517034600000033,2.43913574212868,0,1.03078479209992,-0.210902691,2.39713711848507,-0.177757978,1.01075440219462,-0.430665254,2.40705355969143,0.881666899,1.00650849117312,0.736895323,2.34308168479223,0.736893297,2.34304845395411,0.70569551,0.978037494093923,0.500517846,2.43718824199569,3.872345329,2.34390433029073,0.613378525,4.74942756727564,0.55889988,0.960964321365674,3.753783942,4.74953293127489,0.455858469,3.37190509195349,0.529491425,0.694679430427312,0.529491425,0.694679511429555,0.31767416,0.948750951102045,3.5832604174,0.691806164817373,3.5832604174,0.691806245952407,0.441672326,0.691780715506182,0.441672326,0.691780796508425,0.081218958,0.971337270167843,3.4956545834,0.679568911534959,3.4956545834,0.679569033171114,3.3117361073,4.77332662700273,0.0246889600000002,6.07305574879699,0.228097678,0.983386378004324,0.171334505,4.77342388546609,0.0646822460000003,2.40513177040838,3.4200011496,2.39571064255874,0.40796423,1.0083245562349,0.28444314,2.39518982204004,0.284445048,2.39522305287816,0.55889988,0.960964321365674,3.59745112258979,3.37190509195349,0.081218958,0.971337270167843,3.16628161358979,6.07305574879699
6.3603,0.470849037,1.03078098591827,0.241547823,2.34495592980202,0.300487995,1.01074729818823,0.0051703449999998,2.43913799725883,0,1.03078572221121,-0.210902453,2.39713914729391,-0.17775774,1.01075533317193,-0.430665255,2.40705581482158,0.881667018,1.00650943250508,0.736895442,2.34308379217845,0.736893415,2.34305056134033,0.705695629,0.978038435425884,0.500518084,2.43719051138639,3.872345447,2.34390659968143,0.613378763,4.74943210605704,0.558899879,0.96096520395852,3.75378406,4.7495374700563,0.455858469,3.37190800936213,0.529491663,0.694680078710835,0.529491663,0.694680159845869,0.317674398,0.948751892434006,3.5832605361,0.691806813233687,3.5832605361,0.69180689423593,0.441672563,0.691781363922496,0.441672563,0.691781444924739,0.081218958,0.971338152760689,3.4956547617,0.679569519450151,3.4956547617,0.679569600452394,3.3117361664,4.77333084177517,0.0246889590000001,6.07306093559634,0.228097677,0.983387319336285,0.171334505,4.77342810023853,0.0646822449999997,2.40513403979909,3.4200012683,2.39571291194945,0.407964468,1.00832549756686,0.284443378,2.39519192942626,0.284445047,2.39522532226887,0.558899879,0.96096520395852,3.59745112258979,3.37190800936213,0.081218958,0.971338152760689,3.16628161258979,6.07306093559634
6.3936,0.470849037,1.03078022468194,0.241547823,2.34495412615978,0.300487995,1.0107465369519,0.00517034500000024,2.43913596729528,0,1.03078504584537,-0.210902691,2.39713734365167,-0.177757979,1.0107545719356,-0.430665255,2.40705401117934,0.881666899,1.00650872688264,0.736895323,2.3430820088012,0.736893296,2.34304877796308,0.705695391,0.978037671064332,0.500517845,2.43718856600466,3.872345328,2.34390465562761,0.613378525,4.74942821529358,0.558899879,0.960964438843903,3.753783941,4.74953357929284,0.455858469,3.37190541596246,0.529491424,0.694679511429555,0.529491424,0.694679592431798,0.31767416,0.948751127319388,3.5832604169,0.691806245952407,3.5832604169,0.691806407956892,0.441672325,0.691780796508425,0.441672325,0.691780958645701,0.081218958,0.971337387646072,3.4956546425,0.679568992669992,3.4956546425,0.679569114173356,3.3117360472,4.77332727502067,0.024688721,6.07305639681493,0.228097677,0.983386554221667,0.171334505,4.77342453348403,0.0646822450000002,2.40513225642184,3.4200011491,2.39571096656771,0.407964468,1.00832479119135,0.28444314,2.39519014604902,0.284444809,2.39522353889162,0.558899879,0.960964438843903,3.59745112258979,3.37190541596246,0.081218958,0.971337387646072,3.16628137458979,6.07305639681493
6.4269,0.470849038,1.03078047842739,0.241547823,2.3449550279809,0.300487996,1.01074679069735,0.00517034599999988,2.4391368691164,0,1.03078521472032,-0.210902452,2.39713802030619,-0.177757978,1.010754994556,-0.430665254,2.40705468783386,0.881667018,1.0065090800704,0.736895442,2.34308265681915,0.736893416,2.34304958931342,0.70569563,0.978038024252084,0.500517846,2.43718937602709,3.872345448,2.34390546565003,0.613378764,4.74942983666634,0.55889988,0.96096473329254,3.753784061,4.7495352006656,0.455858469,3.37190638931728,0.529491663,0.694679754569074,0.529491663,0.694679835571317,0.317674399,0.948751421768026,3.5832605367,0.691806489091926,3.5832605367,0.691806570094168,0.441672564,0.691781039647944,0.441672564,0.691781120782977,0.081218958,0.971337682094709,3.4956547027,0.679569235809511,3.4956547027,0.679569316811754,3.311736167,4.77332857238446,0.0246889599999998,6.07305834219667,0.228097678,0.98338678993119,0.171334506,4.77342583084782,0.0646822459999998,2.40513290443978,3.4200012689,2.39571177791805,0.407964468,1.00832514437911,0.284443379,2.39519095739935,0.284445048,2.39522418690956,0.55889988,0.96096473329254,3.59745112258979,3.37190638931728,0.081218958,0.971337682094709,3.16628161358979,6.07305834219667
6.4602,0.470849038,1.03078047842739,0.241547823,2.3449550279809,0.300487996,1.01074687556784,0.00517034599999988,2.4391368691164,0,1.03078521472032,-0.21090269,2.39713802030619,-0.177757978,1.01075482568105,-0.430665254,2.40705468783386,0.881666899,1.0065090800704,0.736895323,2.34308281882363,0.736893177,2.34304958931342,0.705695391,0.978037964759904,0.500517846,2.43718937602709,3.872345329,2.34390546565003,0.613378525,4.74942983666634,0.55889988,0.96096473329254,3.753783823,4.7495352006656,0.455858469,3.37190638931728,0.529491425,0.694679754569074,0.529491425,0.694679835571317,0.31767416,0.948751421768026,3.5832604174,0.691806489091926,3.5832604174,0.691806570094168,0.441672326,0.691781039647944,0.441672326,0.691781120782977,0.081218958,0.971337682094709,3.4956545834,0.67956919530839,3.4956545834,0.679569316811754,3.3117360477,4.77332857238446,0.024688721,6.07305834219667,0.228097439,0.983386848670304,0.171334506,4.77342615485679,0.0646822460000003,2.40513290443978,3.4200011496,2.39571177791805,0.40796423,1.00832502690088,0.28444314,2.39519095739935,0.284444809,2.39522418690956,0.55889988,0.96096473329254,3.59745112258979,3.37190638931728,0.081218958,0.971337682094709,3.16628137458979,6.07305834219667
6.4935,0.470849037,1.03078022468194,0.241547823,2.34495412615978,0.300487995,1.0107465369519,0.0051703449999998,2.43913596729528,0,1.03078496097488,-0.210902452,2.39713734365167,-0.177757978,1.0107545719356,-0.430665255,2.40705401117934,0.881667018,1.00650884436087,0.736895442,2.3430820088012,0.736893296,2.34304877796308,0.70569551,0.978037671064332,0.500517845,2.43718856600466,3.872345448,2.34390465562761,0.613378763,4.74942821529358,0.558899879,0.960964438843903,3.753784061,4.74953357929284,0.455858469,3.37190541596246,0.529491425,0.694679511429555,0.529491425,0.694679592431798,0.317674398,0.948751127319388,3.5832605362,0.691806245952407,3.5832605362,0.691806407956892,0.441672564,0.691780796508425,0.441672564,0.691780958645701,0.081218958,0.971337387646072,3.4956547618,0.679568992669992,3.4956547618,0.679569073672235,3.3117361665,4.77332727502067,0.0246889590000001,6.07305639681493,0.228097677,0.983386554221667,0.171334505,4.77342453348403,0.0646822449999997,2.40513225642184,3.4200012684,2.39571096656771,0.407964468,1.00832467371312,0.284443378,2.39519014604902,0.284445047,2.39522353889162,0.558899879,0.960964438843903,3.59745112258979,3.37190541596246,0.081218958,0.971337387646072,3.16628161258979,6.07305639681493
6.5268,0.470849275,1.03078090191381,0.241548061,2.34495615612333,0.300488233,1.01074721418377,0.00517058300000039,2.43913799725883,0,1.03078572221121,-0.210902453,2.39713914729391,-0.17775774,1.0107554171764,-0.430665255,2.40705581482158,0.881667137,1.00650943250508,0.736895561,2.34308379217845,0.736893415,2.34305056134033,0.705695629,0.978038435425884,0.500518083,2.43719051138639,3.872345566,2.34390643767695,0.613378763,4.74943210605704,0.558900117,0.96096520395852,3.75378406,4.7495374700563,0.455858707,3.37190800936213,0.529491663,0.694680078710835,0.529491663,0.694680159845869,0.317674398,0.948751892434006,3.5832605954,0.691806813233687,3.5832605954,0.69180689423593,0.441672563,0.691781363922496,0.441672563,0.691781444924739,0.0812191960000002,0.971338152760689,3.495654821,0.679569559951273,3.495654821,0.679569640953515,3.3117362853,4.77333084177517,0.0246889590000001,6.07306093559634,0.228097677,0.983387319336285,0.171334743,4.77342810023853,0.0646824830000003,2.40513403979909,3.4200013872,2.39571291194945,0.407964468,1.00832549756686,0.284443378,2.39519192942626,0.284445047,2.39522532226887,0.558900117,0.96096520395852,3.59745136058979,3.37190800936213,0.0812191960000002,0.971338152760689,3.16628161258979,6.07306093559634
6.5601,0.470849037,1.03078014067748,0.241547823,2.34495389983848,0.300487995,1.01074628320646,0.0051703449999998,2.43913574212868,0,1.03078479209992,-0.210902453,2.39713711848507,-0.177757979,1.01075440219462,-0.430665255,2.40705355969143,0.881667017,1.00650860940442,0.736895442,2.34308168479223,0.736893296,2.34304845395411,0.705695509,0.978037553586103,0.500517845,2.43718824199569,3.872345447,2.34390433029073,0.613378763,4.74942756727564,0.558899879,0.960964321365674,3.753783941,4.74953293127489,0.455858469,3.37190509195349,0.529491424,0.694679430427312,0.529491424,0.694679511429555,0.31767416,0.948751009841159,3.5832604761,0.691806164817373,3.5832604761,0.691806245952407,0.441672325,0.691780715506182,0.441672325,0.691780796508425,0.0812189569999999,0.971337270167843,3.4956547017,0.679568911534959,3.4956547017,0.679568992669992,3.311736166,4.77332662700273,0.0246889589999997,6.07305574879699,0.228097677,0.983386378004324,0.171334505,4.77342388546609,0.0646822449999997,2.40513177040838,3.4200012679,2.39571064255874,0.407964468,1.0083245562349,0.284443378,2.39518982204004,0.284445047,2.39522321488265,0.558899879,0.960964321365674,3.59745112258979,3.37190509195349,0.0812189569999999,0.971337270167843,3.16628161258979,6.07305574879699
6.5934,0.470849037,1.03078115565925,0.241547822,2.34495660645654,0.300487995,1.01074755193368,0.0051703449999998,2.43913867391334,0,1.03078597595665,-0.210902691,2.39713982394843,-0.177757979,1.01075558691738,-0.430665493,2.4070564914761,0.881666898,1.00650978569283,0.736895322,2.34308444019639,0.736893177,2.34305120935827,0.70569539,0.978038671135407,0.500517845,2.43719115940434,3.872345328,2.34390708702279,0.613378524,4.74943340342083,0.558899879,0.960965438914978,3.753783822,4.74953876609218,0.455858469,3.37190898271695,0.529491424,0.694680240848112,0.529491424,0.694680321850354,0.31767416,0.948752127390463,3.5832603569,0.691806975370963,3.5832603569,0.691807056373206,0.441672325,0.691781525926982,0.441672325,0.691781607062015,0.0812189569999999,0.971338387717147,3.4956545825,0.679569722088549,3.4956545825,0.679569803090792,3.3117359872,4.77333213781105,0.0246887199999999,6.07306288097807,0.228097438,0.983387554292742,0.171334505,4.77342939627441,0.0646822450000002,2.40513468781703,3.4200010891,2.39571356129529,0.407964229,1.00832573252331,0.28444314,2.39519257877211,0.284444808,2.39522597028681,0.558899879,0.960965438914978,3.59745112258979,3.37190898271695,0.0812189569999999,0.971338387717147,3.16628137358979,6.07306288097807
6.6267,0.470849037,1.03077997180252,0.241547823,2.34495389983848,0.300487995,1.01074636807695,0.0051703449999998,2.43913574212868,0,1.03078479209992,-0.210902452,2.39713711848507,-0.177757978,1.01075448706511,-0.430665254,2.40705355969143,0.881667018,1.00650860940442,0.736895323,2.34308168479223,0.736893296,2.34304845395411,0.70569551,0.978037553586103,0.500517845,2.43718824199569,3.872345448,2.34390433029073,0.613378763,4.74942756727564,0.55889988,0.960964321365674,3.753783941,4.74953293127489,0.455858469,3.37190509195349,0.529491425,0.694679430427312,0.529491425,0.694679511429555,0.31767416,0.948751009841159,3.5832604767,0.691806164817373,3.5832604767,0.691806245952407,0.441672325,0.691780715506182,0.441672325,0.691780796508425,0.081218958,0.971337270167843,3.4956547023,0.679568911534959,3.4956547023,0.679568992669992,3.311736107,4.77332662700273,0.0246889590000001,6.07305574879699,0.228097677,0.983386378004324,0.171334505,4.77342388546609,0.0646822449999997,2.40513177040838,3.4200012089,2.39571064255874,0.407964468,1.0083245562349,0.284443379,2.39518982204004,0.284445047,2.39522305287816,0.55889988,0.960964321365674,3.59745112258979,3.37190509195349,0.081218958,0.971337270167843,3.16628161258979,6.07305574879699
6.66,0.470849037,1.03078098591827,0.241548061,2.34495615612333,0.300488233,1.01074729818823,0.00517058299999995,2.43913799725883,0,1.03078572221121,-0.210902453,2.39713914729391,-0.17775774,1.01075533317193,-0.430665255,2.40705581482158,0.881667137,1.00650943250508,0.736895442,2.34308379217845,0.736893415,2.34305056134033,0.705695629,0.978038435425884,0.500518083,2.43719051138639,3.872345566,2.34390659968143,0.613378763,4.74943210605704,0.558900118,0.96096520395852,3.75378406,4.7495374700563,0.455858707,3.37190800936213,0.529491663,0.694680078710835,0.529491663,0.694680159845869,0.317674398,0.948751892434006,3.5832605955,0.691806813233687,3.5832605955,0.69180689423593,0.441672563,0.691781363922496,0.441672563,0.691781444924739,0.0812191960000002,0.971338152760689,3.4956548211,0.679569519450151,3.4956548211,0.679569640953515,3.3117362257,4.77333084177517,0.0246889590000001,6.07306093559634,0.228097677,0.983387319336285,0.171334743,4.77342810023853,0.0646824830000003,2.40513403979909,3.4200013276,2.39571291194945,0.407964468,1.00832549756686,0.284443378,2.39519192942626,0.284445047,2.39522532226887,0.558900118,0.96096520395852,3.59745136058979,3.37190800936213,0.0812191960000002,0.971338152760689,3.16628161258979,6.07306093559634
6.6933,0.470849037,1.03078022468194,0.241547823,2.34495412615978,0.300487995,1.01074645294744,0.0051703449999998,2.43913596729528,0,1.03078496097488,-0.210902691,2.39713734365167,-0.177757979,1.0107545719356,-0.430665255,2.40705401117934,0.881667018,1.00650872688264,0.736895322,2.3430820088012,0.736893296,2.34304877796308,0.70569551,0.978037729803446,0.500517845,2.43718856600466,3.872345447,2.34390465562761,0.613378763,4.74942821529358,0.558899879,0.960964438843903,3.753783941,4.74953357929284,0.455858469,3.37190541596246,0.529491424,0.694679511429555,0.529491424,0.694679592431798,0.31767416,0.948751127319388,3.5832604762,0.691806245952407,3.5832604762,0.691806407956892,0.441672325,0.691780796508425,0.441672325,0.691780958645701,0.081218958,0.971337387646072,3.4956546422,0.679569033171114,3.4956546422,0.679569114173356,3.3117361065,4.77332727502067,0.0246889589999997,6.07305639681493,0.228097677,0.983386554221667,0.171334505,4.77342453348403,0.0646822449999997,2.40513225642184,3.4200012084,2.39571096656771,0.407964468,1.00832479119135,0.28444314,2.39519014604902,0.284445047,2.39522353889162,0.558899879,0.960964438843903,3.59745112258979,3.37190541596246,0.081218958,0.971337387646072,3.16628161258979,6.07305639681493
6.7266,0.470848798,1.03078047842739,0.241547584,2.3449550279809,0.300487995,1.01074679069735,0.00517010700000009,2.4391368691164,0,1.03078529959081,-0.210902691,2.39713802030619,-0.177757979,1.01075490968551,-0.430665493,2.40705468783386,0.881666898,1.0065090800704,0.736895203,2.34308281882363,0.736893177,2.34304958931342,0.70569539,0.978037964759904,0.500517845,2.43718937602709,3.872345328,2.34390546565003,0.613378524,4.74942983666634,0.558899641,0.96096473329254,3.753783822,4.7495352006656,0.455858469,3.37190638931728,0.529491424,0.694679754569074,0.529491424,0.694679835571317,0.31767416,0.948751421768026,3.583260357,0.691806489091926,3.583260357,0.691806570094168,0.441672325,0.691781039647944,0.441672325,0.691781120782977,0.0812187189999998,0.971337682094709,3.4956545826,0.679569235809511,3.4956545826,0.679569316811754,3.3117359873,4.77332857238446,0.0246887199999999,6.07305834219667,0.228097438,0.98338678993119,0.171334266,4.77342615485679,0.064682006,2.40513290443978,3.4200010892,2.39571177791805,0.407964229,1.00832502690088,0.28444314,2.39519095739935,0.284444809,2.39522418690956,0.558899641,0.96096473329254,3.59745112258979,3.37190638931728,0.0812187189999998,0.971337682094709,3.16628137358979,6.07305834219667
